cell_area,parasite_count,parasite_area,texture_contrast,label
16954.0,1,208.5,366.99169379279385,1
11529.5,1,144.0,445.25887445887446,1
11486.0,1,215.0,389.11898856276696,1
18251.0,2,172.5,389.3248304811108,1
14787.0,1,110.0,440.2542139662884,1
14160.5,0,0.0,446.6734594179636,1
7241.0,1,110.5,529.9179166666667,1
10755.5,1,186.5,438.4839789574366,1
7549.0,1,27.0,534.2444444444444,1
26296.0,1,45.0,424.15247738439643,1
26408.5,1,163.0,447.7267650303365,1
13139.0,1,179.5,404.9379013793489,1
15003.0,1,91.0,401.39659926470586,1
11155.5,2,182.0,440.06661600810537,1
5851.0,1,100.0,535.9554292929292,1
11768.0,1,72.0,608.9615881534487,1
14601.0,2,206.0,401.6881981981982,1
14724.5,1,165.0,521.3501625549818,1
7996.5,1,97.5,506.13221016561954,1
11422.5,1,161.0,432.55985915492954,1
12066.5,1,111.5,555.9499859826184,1
10877.5,1,213.5,490.62790697674416,1
12885.0,1,62.0,406.55288985823336,1
12718.5,2,155.0,439.66627543036,1
13238.0,0,0.0,469.8687296955013,1
14131.5,1,125.5,497.5215860379668,1
12553.5,1,160.0,470.7924646602827,1
10873.0,1,94.5,418.4895598899725,1
21604.5,1,199.5,508.76905360134003,1
6158.0,1,124.5,419.09233295440185,1
9114.5,2,112.5,494.4408628812299,1
15471.5,1,52.5,456.55359968354435,1
11829.5,2,224.0,618.3313711062056,1
11609.5,2,107.5,504.49930475787437,1
11398.5,2,198.0,458.04953379953383,1
13031.0,1,136.5,504.31489053361634,1
15151.5,1,143.0,424.4657876336031,1
15084.0,1,169.5,425.0735207100592,1
11984.5,1,116.0,493.43497971844425,1
8823.0,1,117.5,572.669498381877,1
12930.0,1,143.5,483.0959232613909,1
17528.5,1,186.0,478.584755114167,1
18447.0,1,220.0,378.5553589683101,1
17018.0,1,233.5,488.1913628472222,1
12332.5,2,295.0,490.9519230769231,1
9487.5,0,0.0,456.8584516720111,1
9390.0,0,0.0,481.25157657657655,1
10514.0,2,57.0,424.65862556771646,1
11684.5,1,164.5,385.8687022900764,1
11049.0,2,145.0,490.4224441457013,1
15934.0,1,91.5,439.5576158940397,1
11633.0,1,108.0,443.92527386541474,1
13844.5,1,117.0,449.39715500327014,1
14127.0,1,154.0,365.55122807017545,1
13073.0,1,49.5,488.07126357126344,1
11794.0,1,188.5,640.443205056702,1
14871.0,1,299.0,435.7026838132513,1
7586.5,1,63.0,488.88560258371575,1
13624.5,2,207.0,440.4076628352491,1
26159.0,2,248.0,371.02472784591896,1
14562.0,0,0.0,493.58843760235845,1
11228.5,1,147.0,520.5263914946842,1
10075.0,1,70.5,516.3266858552631,1
8018.0,0,0.0,494.3078181818181,1
11479.5,2,140.5,433.9305891848265,1
20928.5,1,113.0,392.54969325153377,1
12568.5,1,174.0,465.8567623899953,1
8979.5,1,131.5,483.3582554517134,1
16337.5,2,307.5,464.5855263157895,1
12338.0,2,273.0,468.33883874271817,1
15047.0,1,116.5,291.9573089078151,1
9218.5,2,74.0,456.0752128275064,1
12519.0,1,142.0,490.28153001792117,1
10122.0,1,148.0,567.7795897284534,1
15164.0,1,125.5,387.0457175925926,1
13917.5,1,171.0,509.83866057838657,1
16915.0,2,243.5,451.4235595616825,1
13267.0,1,131.0,398.3449265381084,1
4935.0,0,0.0,661.8678395194164,1
12426.0,1,82.5,443.3043322592195,1
21888.0,1,173.5,368.0252151383363,1
10734.0,1,142.5,551.5557553956835,1
7867.5,1,105.0,454.8645680101991,1
11458.5,1,107.0,414.7294640621087,1
14476.5,2,221.5,393.1033398660787,1
16643.0,1,141.5,508.95969794671646,1
13301.5,1,106.5,504.13891625615764,1
13178.0,0,0.0,391.1472050036299,1
10589.0,1,117.5,447.70669705469845,1
17147.5,2,263.0,420.03009746588697,1
16157.5,1,122.5,438.4016677935542,1
10188.0,1,125.0,445.86311594202897,1
8718.5,1,167.0,634.4289823804387,1
13822.5,1,195.5,434.39755902360946,1
9577.0,1,186.0,529.0504344140709,1
11790.0,0,0.0,444.7676767676768,1
15436.5,1,163.0,462.7183664459161,1
14844.0,1,207.0,537.3509330905781,1
10457.0,1,135.0,425.55354886659234,1
16226.0,2,192.5,496.6694659300184,1
14188.5,1,175.5,428.8973817567568,1
10146.5,0,0.0,443.9646971386102,1
13032.0,1,149.0,439.7033788722101,1
8584.0,1,117.0,481.9317725752508,1
9554.0,1,104.5,483.4683633792861,1
10754.5,1,148.0,448.2613095238096,1
12264.5,1,211.5,518.1069806560135,1
10921.0,1,29.0,480.08688750862666,1
10801.0,1,195.0,530.3045729076791,1
11156.5,0,0.0,448.8094398746573,1
15059.0,1,159.0,407.9056663837012,1
17415.5,2,348.0,498.1255634784035,1
7327.0,1,47.0,384.0694092232554,1
16626.0,1,140.0,385.270942256303,1
17180.5,2,161.0,417.90503003003005,1
16739.5,1,176.5,478.931622851365,1
9352.5,1,122.5,459.05061315496096,1
18247.5,1,153.5,367.7379220779221,1
15242.0,1,44.5,425.2380550731828,1
12454.0,1,172.5,497.6588603988604,1
11134.5,1,156.5,512.976182729225,1
17357.5,2,228.5,363.1397410577135,1
15289.5,1,177.5,413.66846153846154,1
11287.0,1,147.0,417.89969497056114,1
15601.0,1,91.0,364.1131551212034,1
20403.0,1,207.5,466.10878743249873,1
15666.0,2,66.5,396.8764367816092,1
12733.0,2,152.0,445.0853814644138,1
16948.5,2,221.5,524.4543418963481,1
13772.5,1,191.5,447.71647350993373,1
12367.5,1,120.5,452.7604054859869,1
11761.5,2,178.0,504.74341238471675,1
12393.5,2,191.0,418.96240601503763,1
12670.0,1,117.5,355.18008870214754,1
10281.5,1,105.5,484.47832827772163,1
17463.5,2,147.0,422.1608280254777,1
9273.0,2,116.0,609.1157647058824,1
16941.0,1,81.0,385.888326977284,1
13685.5,1,153.5,447.3797537321565,1
15380.0,1,177.0,424.86691086691087,1
11984.0,2,158.5,441.9488662926601,1
11214.5,1,289.0,504.4886591478697,1
